SAMPLE_N,5hmC_ID,5mC_ID
SAMPLE_0658,lung-P01LB035,lung-M43-P01LB035
SAMPLE_0659,lung-P01LB037,lung-M194-P01LB037
SAMPLE_0660,lung-P01LB038,lung-M38-P01LB038
SAMPLE_0661,lung-P01LB039,lung-M34-P01LB039
SAMPLE_0662,lung-P01LB043,lung-M231-P01LB043
SAMPLE_0663,lung-P01LB044,lung-M238-P01LB044
SAMPLE_0664,lung-P01LB050,lung-M81-P01LB050
SAMPLE_0665,lung-P01LB051,lung-M238-P01LB051
SAMPLE_0666,lung-P01LB052,lung-M245-P01LB052
SAMPLE_0667,lung-P01LB054,lung-M14-P01LB054
SAMPLE_0668,lung-P01LB055,lung-M172-P01LB055
SAMPLE_0669,lung-P01LB057,lung-M81-P01LB057
SAMPLE_0670,lung-P01LB060,lung-M201-P01LB060
SAMPLE_0671,lung-P01LB063,lung-M13-P01LB063
SAMPLE_0672,lung-P01LB064,lung-M63-P01LB064
SAMPLE_0673,lung-P01LB065,lung-M65-P01LB065
SAMPLE_0674,lung-P01LB066,lung-M44-P01LB066
SAMPLE_0675,lung-P01LB067,lung-M158-P01LB067
SAMPLE_0676,lung-P01LB068,lung-M10-P01LB068
SAMPLE_0677,lung-P01LB069,lung-M211-P01LB069
SAMPLE_0678,lung-P01LB070,lung-M169-P01LB070
SAMPLE_0679,lung-P01LB072,lung-M168-P01LB072
SAMPLE_0680,lung-P01LB074,lung-M232-P01LB074
SAMPLE_0681,lung-P01LB075,lung-M7-P01LB075
SAMPLE_0682,lung-P01LB076,lung-M160-P01LB076
SAMPLE_0683,lung-P01LB077,lung-M40-P01LB077
SAMPLE_0684,lung-P01LB078,lung-M64-P01LB078
SAMPLE_0685,lung-P01LB079,lung-M8-P01LB079
SAMPLE_0686,lung-P01LB082,lung-M238-P01LB082
SAMPLE_0687,lung-P01LB083,lung-M210-P01LB083
SAMPLE_0688,lung-P01LB086,lung-M174-P01LB086
SAMPLE_0689,lung-P01LB087,lung-M16-P01LB087
SAMPLE_0690,lung-P01LB089,lung-M238-P01LB089
SAMPLE_0691,lung-P01LB090,lung-M24-P01LB090
SAMPLE_0692,lung-P01LB091,lung-M175-P01LB091
SAMPLE_0693,lung-P01LB093,lung-M199-P01LB093
SAMPLE_0694,lung-P01LB094,lung-M15-P01LB094
SAMPLE_0695,lung-P01LB095,lung-M38-P01LB095
